===== REPORT for https://swapi.dev/======
Found 2 internal links to https://swapi.dev/#start
Found 2 internal links to https://swapi.dev/#films
Found 2 internal links to https://swapi.dev/#javascript
Found 2 internal links to https://swapi.dev/#planets
Found 2 internal links to https://swapi.dev/#schema
Found 2 internal links to https://swapi.dev/#golang
Found 2 internal links to https://swapi.dev/#ruby
Found 2 internal links to https://swapi.dev/#angular
Found 2 internal links to https://swapi.dev/#rate
Found 2 internal links to https://swapi.dev/#auth
Found 2 internal links to https://swapi.dev/#search
Found 2 internal links to https://swapi.dev/#fsharp
Found 2 internal links to https://swapi.dev/#people
Found 2 internal links to https://swapi.dev/#python
Found 2 internal links to https://swapi.dev/#csharp
Found 2 internal links to https://swapi.dev/#r
Found 64 internal links to https://swapi.dev/documentation
Found 66 internal links to https://swapi.dev/about
Found 2 internal links to https://swapi.dev/#objc
Found 2 internal links to https://swapi.dev/#base
Found 2 internal links to https://swapi.dev/#intro
Found 2 internal links to https://swapi.dev/#java
Found 2 internal links to https://swapi.dev/#vehicles
Found 124 internal links to https://swapi.dev/
Found 2 internal links to https://swapi.dev/#species
Found 2 internal links to https://swapi.dev/#starships
Found 1 internal links to https://swapi.dev/documentation#python
Found 2 internal links to https://swapi.dev/#android
Found 2 internal links to https://swapi.dev/#angular2
Found 2 internal links to https://swapi.dev/#elixir
Found 6 internal links to https://swapi.dev/#json
Found 10 internal links to https://swapi.dev/#wookiee
Found 2 internal links to https://swapi.dev/#root
